R,d,θ,x,y,z
2.4,2.6,70,0.88925,0,2.4432
2.4,2.6,75,0.67293,0,2.51141
2.4,2.6,80,0.45149,0,2.5605
2.4,2.6,85,0.2266,0,2.59011
2.4,2.6,90,0.0,0,2.6
2.4,2.6,95,-0.2266,0,2.59011
2.4,2.6,100,-0.45149,0,2.5605
2.4,2.6,105,-0.67293,0,2.51141
2.4,2.6,110,-0.88925,0,2.4432
2.4,2.6,115,-1.09881,0,2.3564
2.4,2.6,120,-1.3,0,2.25167
2.4,2.8,70,0.95766,0,2.63114
2.4,2.8,75,0.72469,0,2.70459
2.4,2.8,80,0.48621,0,2.75746
2.4,2.8,85,0.24404,0,2.78935
2.4,2.8,90,0.0,0,2.8
2.4,2.8,95,-0.24404,0,2.78935
2.4,2.8,100,-0.48621,0,2.75746
2.4,2.8,105,-0.72469,0,2.70459
2.4,2.8,110,-0.95766,0,2.63114
2.4,2.8,115,-1.18333,0,2.53766
2.4,2.8,120,-1.4,0,2.42487
2.4,3.0,70,1.02606,0,2.81908
2.4,3.0,75,0.77646,0,2.89778
2.4,3.0,80,0.52094,0,2.95442
2.4,3.0,85,0.26147,0,2.98858
2.4,3.0,90,0.0,0,3.0
2.4,3.0,95,-0.26147,0,2.98858
2.4,3.0,100,-0.52094,0,2.95442
2.4,3.0,105,-0.77646,0,2.89778
2.4,3.0,110,-1.02606,0,2.81908
2.4,3.0,115,-1.26785,0,2.71892
2.4,3.0,120,-1.5,0,2.59808
2.4,3.2,70,1.09446,0,3.00702
2.4,3.2,75,0.82822,0,3.09096
2.4,3.2,80,0.55567,0,3.15138
2.4,3.2,85,0.2789,0,3.18782
2.4,3.2,90,0.0,0,3.2
2.4,3.2,95,-0.2789,0,3.18782
2.4,3.2,100,-0.55567,0,3.15138
2.4,3.2,105,-0.82822,0,3.09096
2.4,3.2,110,-1.09446,0,3.00702
2.4,3.2,115,-1.35238,0,2.90018
2.4,3.2,120,-1.6,0,2.77128
2.4,3.4,70,1.16287,0,3.19495
2.4,3.4,75,0.87998,0,3.28415
2.4,3.4,80,0.5904,0,3.34835
2.4,3.4,85,0.29633,0,3.38706
2.4,3.4,90,0.0,0,3.4
2.4,3.4,95,-0.29633,0,3.38706
2.4,3.4,100,-0.5904,0,3.34835
2.4,3.4,105,-0.87998,0,3.28415
2.4,3.4,110,-1.16287,0,3.19495
2.4,3.4,115,-1.4369,0,3.08145
2.4,3.4,120,-1.7,0,2.94449
2.6,2.6,70,0.88925,0,2.4432
2.6,2.6,75,0.67293,0,2.51141
2.6,2.6,80,0.45149,0,2.5605
2.6,2.6,85,0.2266,0,2.59011
2.6,2.6,90,0.0,0,2.6
2.6,2.6,95,-0.2266,0,2.59011
2.6,2.6,100,-0.45149,0,2.5605
2.6,2.6,105,-0.67293,0,2.51141
2.6,2.6,110,-0.88925,0,2.4432
2.6,2.6,115,-1.09881,0,2.3564
2.6,2.6,120,-1.3,0,2.25167
2.6,2.8,70,0.95766,0,2.63114
2.6,2.8,75,0.72469,0,2.70459
2.6,2.8,80,0.48621,0,2.75746
2.6,2.8,85,0.24404,0,2.78935
2.6,2.8,90,0.0,0,2.8
2.6,2.8,95,-0.24404,0,2.78935
2.6,2.8,100,-0.48621,0,2.75746
2.6,2.8,105,-0.72469,0,2.70459
2.6,2.8,110,-0.95766,0,2.63114
2.6,2.8,115,-1.18333,0,2.53766
2.6,2.8,120,-1.4,0,2.42487
2.6,3.0,70,1.02606,0,2.81908
2.6,3.0,75,0.77646,0,2.89778
2.6,3.0,80,0.52094,0,2.95442
2.6,3.0,85,0.26147,0,2.98858
2.6,3.0,90,0.0,0,3.0
2.6,3.0,95,-0.26147,0,2.98858
2.6,3.0,100,-0.52094,0,2.95442
2.6,3.0,105,-0.77646,0,2.89778
2.6,3.0,110,-1.02606,0,2.81908
2.6,3.0,115,-1.26785,0,2.71892
2.6,3.0,120,-1.5,0,2.59808
2.6,3.2,70,1.09446,0,3.00702
2.6,3.2,75,0.82822,0,3.09096
2.6,3.2,80,0.55567,0,3.15138
2.6,3.2,85,0.2789,0,3.18782
2.6,3.2,90,0.0,0,3.2
2.6,3.2,95,-0.2789,0,3.18782
2.6,3.2,100,-0.55567,0,3.15138
2.6,3.2,105,-0.82822,0,3.09096
2.6,3.2,110,-1.09446,0,3.00702
2.6,3.2,115,-1.35238,0,2.90018
2.6,3.2,120,-1.6,0,2.77128
2.6,3.4,70,1.16287,0,3.19495
2.6,3.4,75,0.87998,0,3.28415
2.6,3.4,80,0.5904,0,3.34835
2.6,3.4,85,0.29633,0,3.38706
2.6,3.4,90,0.0,0,3.4
2.6,3.4,95,-0.29633,0,3.38706
2.6,3.4,100,-0.5904,0,3.34835
2.6,3.4,105,-0.87998,0,3.28415
2.6,3.4,110,-1.16287,0,3.19495
2.6,3.4,115,-1.4369,0,3.08145
2.6,3.4,120,-1.7,0,2.94449
2.6,3.6,70,1.23127,0,3.38289
2.6,3.6,75,0.93175,0,3.47733
2.6,3.6,80,0.62513,0,3.54531
2.6,3.6,85,0.31376,0,3.5863
2.6,3.6,90,0.0,0,3.6
2.6,3.6,95,-0.31376,0,3.5863
2.6,3.6,100,-0.62513,0,3.54531
2.6,3.6,105,-0.93175,0,3.47733
2.6,3.6,110,-1.23127,0,3.38289
2.6,3.6,115,-1.52143,0,3.26271
2.6,3.6,120,-1.8,0,3.11769
2.8,2.8,70,0.95766,0,2.63114
2.8,2.8,75,0.72469,0,2.70459
2.8,2.8,80,0.48621,0,2.75746
2.8,2.8,85,0.24404,0,2.78935
2.8,2.8,90,0.0,0,2.8
2.8,2.8,95,-0.24404,0,2.78935
2.8,2.8,100,-0.48621,0,2.75746
2.8,2.8,105,-0.72469,0,2.70459
2.8,2.8,110,-0.95766,0,2.63114
2.8,2.8,115,-1.18333,0,2.53766
2.8,2.8,120,-1.4,0,2.42487
2.8,3.0,70,1.02606,0,2.81908
2.8,3.0,75,0.77646,0,2.89778
2.8,3.0,80,0.52094,0,2.95442
2.8,3.0,85,0.26147,0,2.98858
2.8,3.0,90,0.0,0,3.0
2.8,3.0,95,-0.26147,0,2.98858
2.8,3.0,100,-0.52094,0,2.95442
2.8,3.0,105,-0.77646,0,2.89778
2.8,3.0,110,-1.02606,0,2.81908
2.8,3.0,115,-1.26785,0,2.71892
2.8,3.0,120,-1.5,0,2.59808
2.8,3.2,70,1.09446,0,3.00702
2.8,3.2,75,0.82822,0,3.09096
2.8,3.2,80,0.55567,0,3.15138
2.8,3.2,85,0.2789,0,3.18782
2.8,3.2,90,0.0,0,3.2
2.8,3.2,95,-0.2789,0,3.18782
2.8,3.2,100,-0.55567,0,3.15138
2.8,3.2,105,-0.82822,0,3.09096
2.8,3.2,110,-1.09446,0,3.00702
