,r,d,t,x,y,z
255,1.5999999999999999,2.5999999999999996,80,0.451485261934019,0,2.5605001578317403
256,1.5999999999999999,2.5999999999999996,85,0.2266049311439111,0,2.590106215038538
257,1.5999999999999999,2.5999999999999996,90,1.5920408388915588e-16,0,2.5999999999999996
258,1.5999999999999999,2.5999999999999996,95,-0.2266049311439114,0,2.590106215038538
259,1.5999999999999999,2.5999999999999996,100,-0.4514852619340187,0,2.5605001578317403
260,1.5999999999999999,2.5999999999999996,105,-0.6729295172665541,0,2.5114071483515774
261,1.5999999999999999,2.5999999999999996,110,-0.8892523726467385,0,2.4432008140433616
262,1.5999999999999999,2.5999999999999996,115,-1.0988074805258181,0,2.3564002462952898
263,1.5999999999999999,2.5999999999999996,120,-1.2999999999999992,0,2.2516660498395407
264,1.7999999999999998,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
265,1.7999999999999998,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
266,1.7999999999999998,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
267,1.7999999999999998,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
268,1.7999999999999998,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
269,1.7999999999999998,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
270,1.7999999999999998,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
271,1.7999999999999998,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
272,1.7999999999999998,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
273,1.7999999999999998,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
274,1.7999999999999998,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
275,1.7999999999999998,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
276,1.7999999999999998,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
277,1.7999999999999998,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
278,1.7999999999999998,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
279,1.7999999999999998,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
280,1.7999999999999998,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
281,1.7999999999999998,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
282,1.7999999999999998,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
283,1.7999999999999998,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
